2018;2;4;31446;31446.5;2517;1;0.667;0.000;0.000;0.333;0.333;1.000;2.333;1.000;3;0;0;2;2;4;9;4;3;11;73.0;71.0;2
2018;2;5;31447;31447.5;2517;2;2.667;2.000;2.000;1.667;3.000;2.333;1.000;0.333;12;7;7;6;15;9;4;2;8;13;74.0;72.0;2
2018;2;6;31448;31448.5;2517;3;0.333;2.333;1.333;1.667;1.333;0.000;0.667;1.333;2;9;5;6;5;0;3;5;4;16;76.9;74.8;2
2018;2;7;31449;31449.5;2517;4;0.333;0.333;0.667;1.000;1.667;0.000;0.000;0.000;2;2;3;4;6;0;0;0;2;20;76.6;74.6;2
2018;2;8;31450;31450.5;2517;5;0.000;1.000;0.667;0.667;0.333;0.000;0.333;1.333;0;4;3;3;2;0;2;5;2;22;77.5;75.5;2
2018;2;9;31451;31451.5;2517;6;1.333;2.667;0.667;0.000;0.000;0.000;0.333;2.333;5;12;3;0;0;0;2;9;4;25;78.1;76.1;2
2018;2;10;31452;31452.5;2517;7;1.000;2.333;1.333;2.333;2.000;1.333;1.333;0.667;4;9;5;9;7;5;5;3;6;25;78.2;76.2;2
2018;2;11;31453;31453.5;2517;8;0.667;0.000;0.333;0.333;0.333;0.667;0.333;0.000;3;0;2;2;2;3;2;0;2;28;78.2;76.2;2
2018;2;12;31454;31454.5;2517;9;0.000;1.000;1.667;0.333;0.333;0.333;1.667;0.667;0;4;6;2;2;2;6;3;3;25;78.6;76.6;2
2018;2;13;31455;31455.5;2517;10;0.000;0.667;0.667;0.333;0.333;0.333;0.333;0.667;0;3;3;2;2;2;2;3;2;23;75.9;74.1;2
2018;2;14;31456;31456.5;2517;11;1.000;0.000;0.000;0.000;0.000;0.000;1.000;1.333;4;0;0;0;0;0;4;5;2;20;75.3;73.4;2
2018;2;15;31457;31457.5;2517;12;1.000;0.000;2.000;1.000;2.333;4.667;3.000;2.667;4;0;7;4;9;39;15;12;11;16;72.5;70.8;2
2018;2;16;31458;31458.5;2517;13;2.333;2.333;2.333;1.333;0.667;1.333;1.667;2.333;9;9;9;5;3;5;6;9;7;12;71.5;69.8;2
2018;2;17;31459;31459.5;2517;14;3.000;3.667;3.000;1.333;3.000;1.667;1.000;2.333;15;22;15;5;15;6;4;9;11;0;69.0;67.4;2
2018;2;18;31460;31460.5;2517;15;4.000;2.000;2.333;2.000;3.000;3.667;2.333;2.333;27;7;9;7;15;22;9;9;13;0;70.3;68.7;2
2018;2;19;31461;31461.5;2517;16;4.000;4.000;2.333;1.667;2.667;2.000;4.000;2.667;27;27;9;6;12;7;27;12;16;0;69.1;67.5;2
2018;2;20;31462;31462.5;2517;17;2.667;0.000;0.333;0.333;1.333;1.000;0.333;0.000;12;0;2;2;5;4;2;0;3;0;67.8;66.3;2
2018;2;21;31463;31463.5;2517;18;0.000;0.000;0.667;2.000;0.333;0.333;0.667;0.333;0;0;3;7;2;2;3;2;2;0;67.6;66.1;2
2018;2;22;31464;31464.5;2517;19;1.667;1.333;0.667;1.667;2.333;2.667;3.667;3.333;6;5;3;6;9;12;22;18;10;0;68.4;67.0;2
2018;2;23;31465;31465.5;2517;20;1.667;3.667;3.000;4.333;1.333;2.000;3.333;2.667;6;22;15;32;5;7;18;12;15;0;67.6;66.2;2
